anagrams	answer	difficulty
lalb	ball	1
norb	born	1
diyamg	digamy	2
yaaw	away	1
wopneg	gowpen	2
bluc	club	1
hamyap	mayhap	2
cytepl	yclept	2
leph	help	1
moeh	home	1
styrt	tryst	2
fels	self	1
libee	belie	2
nair	rain	1
nawt	want	1
kamasd	damask	2
vome	move	1
nairc	cairn	2
lyap	play	1
spey	espy	2
nidk	kind	1
getlim	gimlet	2
letl	tell	1
toey	eyot	2
nomo	moon	1
darc	card	1
hethy	hythe	2
lewl	well	1
